Employee ID,Bonus,Raise Date
958049,2.2,N,08/24/2022
348729,0.7,Y,06/04/2022
348729,1.1,N,12/14/2024
441062,1.9,Y,06/15/2024
441062,1.3,N,09/12/2023
246025,0.0,Y,10/20/2024
246025,1.7,N,03/07/2024
866152,2.3,N,01/20/2023
866152,2.1,Y,06/07/2022
558064,0.0,N,12/02/2024
558064,0.0,Y,01/20/2023
894681,2.3,N,07/03/2024
220994,0.1,N,05/11/2022
220994,0.1,N,10/17/2023
220994,1.0,Y,06/11/2023
551151,0.2,N,05/13/2022
551151,2.4,N,10/18/2022
551151,1.7,Y,09/01/2024
737970,0.7,Y,04/06/2023
861665,0.3,Y,09/10/2024
861665,1.2,N,10/06/2022
343891,1.1,Y,09/24/2023
343891,0.5,Y,03/22/2022
275861,0.5,N,02/21/2024
275861,2.0,N,10/16/2023
589650,2.1,N,05/19/2024
589650,1.0,N,07/10/2023
589650,0.9,N,11/20/2023
284894,0.9,Y,06/19/2024
284894,0.3,Y,01/11/2024
284894,0.7,N,01/05/2024
929240,1.5,Y,09/12/2024
243001,1.1,Y,02/24/2023
243001,0.3,Y,01/24/2023
243001,0.2,N,04/01/2023
688513,0.8,N,02/21/2022
688513,2.2,Y,09/07/2022
688513,0.9,N,11/24/2023
442899,2.3,Y,07/07/2022
935656,1.0,N,04/01/2024
715512,0.1,Y,05/23/2023
141384,2.1,Y,05/09/2024
141384,0.3,N,12/10/2022
578082,1.6,N,07/21/2022
506670,0.6,N,09/15/2024
506670,2.0,N,11/01/2022
506670,1.8,N,03/23/2022
673770,0.4,N,07/15/2022
673770,1.7,N,03/01/2023
673770,1.6,Y,06/05/2024
788678,1.2,Y,09/15/2023
999527,1.3,Y,06/17/2023
999527,0.2,Y,07/12/2023
999527,0.6,N,11/19/2022
418651,0.6,N,04/09/2022
418651,2.5,N,07/13/2024
418651,1.0,Y,08/01/2022
243344,0.8,Y,06/02/2024
489244,1.0,N,07/16/2024
489244,1.9,Y,07/24/2023
489244,0.0,Y,01/11/2024
272500,1.9,Y,10/14/2024
272500,2.4,Y,07/03/2022
340876,2.4,Y,06/22/2023
340876,0.6,N,08/09/2023
340876,2.1,N,11/11/2023
894667,0.4,Y,06/08/2022
894667,1.1,Y,06/20/2022
480944,2.0,Y,05/18/2022
480944,1.0,Y,02/15/2024
480944,1.4,Y,11/02/2024
951318,1.9,Y,07/09/2024
951318,2.4,N,08/21/2023
312548,0.2,N,02/20/2024
312548,0.3,N,01/15/2022
312548,1.0,Y,11/14/2023
750802,0.8,N,06/08/2022
750802,1.7,Y,03/18/2022
750802,2.2,Y,06/11/2022
958191,1.9,Y,03/19/2023
958191,0.2,Y,12/02/2024
958191,1.8,N,07/06/2024
135182,1.1,N,01/03/2024
135182,1.0,N,01/07/2023
135182,2.5,Y,07/07/2024
456267,0.5,N,04/05/2023
978891,0.0,Y,06/12/2024
978891,1.3,Y,02/21/2022
978891,0.2,N,04/21/2022
138628,1.8,N,12/02/2022
180595,0.7,N,05/01/2022
180595,1.6,Y,09/11/2023
180595,0.9,N,05/15/2024
376943,0.0,Y,03/05/2024
279976,1.2,N,05/16/2023
367620,0.9,Y,07/09/2022
367620,0.1,N,06/18/2024
706002,1.4,Y,10/17/2022
